SP500,1. IBM,2.MMM,3.ABI,4.AP3.SG,5.ALB,6.ALGN,7.ALLE,8.MO,9.AEE,10.AMGN,11.APH,12.AAPL,13.ARNC,14.AT&T Inc.,15.ADSK,16.AutoZone Inc,17.BLL,18.BBT,19.BDX,20.BUY.SG,21.BIIB,22.BLK,23.BA,24.BWA,25.BSX,26.BMY,27.CA,28.CPB,29.COF,30.KMX,31.CAT,32.CBG,33.CNC,34.CNP,35.CERN,36.C4F.SG,37.CVX,38.CMG,39.CB,40.CHD,41.XEC,42.CTAS,43.CSCO,44.C,45.CTXS,46.CME,47.CMS,48.CTSH,49.CL,50.CA3.SG,51.CAG,52.CXO,53.COP,54.COP,55.DVA,56.DAV,57.DCO.SG,58.DY6.SG,59.DFS,60.DISH,61.DG,62.DLTR,63.DPS,64.DGY.SG,65.DUK,66.DXC,67.EMN,68.EBAY,69.EQT,70.EL,71.FFIV,72.FB,73.FRT,74.FDX,75.FITB,76.FISV,77.FLIR,78.FMC,79.FL,80.F,81.FTV,82.FBHS,83.BEN,84.GRMN,85.IT,86.GD,87.GE,88.GIS,89.GM,90.GPN,91.GS,92.HAL.HA,93.HAS.BE,94.HSY,95.HD,96.HPQ,97.HUM,98.HBANP,99.ILMN,100.MSF.SG
-0.002182789,-0.016467499,0.001945355,0.001108383,-0.009273338,-0.024776922,-0.009285882,-0.014349935,-0.004807772,-0.003404336,0.001990613,0.000318164,-0.026558429,-0.008853906,-0.00194039,0.003056549,-0.003749563,-0.006843003,0.009725335,-0.006263971,-0.01570281,-0.014741415,-0.003110276,0.001958357,-0.007782089,0.002863573,0.004233602,-0.007891222,-0.016774423,-0.008754234,0.01798247,-0.00215241,-0.01891306,0.00935345,0.014916251,-0.013319091,0.022787986,-0.027753914,-0.02262343,-0.017784388,-0.023152656,-0.036755795,-0.029266202,-0.019897927,-0.013058358,-0.035766566,-0.004046528,-0.038466214,-0.016698511,-0.02961628,-0.006971938,-0.035377857,-0.027964315,-0.024086182,-0.024086182,-0.012180007,-0.012180007,-0.007986369,-0.03484326,-0.016546008,-0.037717948,-0.001274184,-0.002569268,-0.028745869,-0.028927817,-0.036033131,-0.014542545,-0.017924653,-0.025082659,-0.014778673,-0.006148747,-0.013880299,-0.024635088,-0.038042618,-0.02789453,-0.01048164,-0.019650082,-0.010369512,-0.054864733,-0.020078981,-0.027879156,-0.034606961,-0.053224292,-0.030447828,-0.030720533,-0.016884194,-0.016473527,-0.030419341,-0.036526845,-0.039561432,-0.035362911,-0.01816454,-0.01006573,-0.03257452,-0.019663948,-0.027183127,-0.039029321,0.000453274,0.025510007,-0.031174152,-0.002837872
-0.02481607,-0.021037284,-0.025075822,-0.035328748,-0.020524783,-0.05199602,-0.038575229,-0.044627317,-0.043712718,-0.036568239,-0.026192618,-0.023541915,-0.022910322,-0.052750645,-0.036592528,-0.02904741,-0.009560491,-0.029134345,-0.00078496,-0.032506733,-0.01328253,-0.038525556,-0.027773512,-0.033434608,-0.048594827,-0.040430595,-0.020450712,-0.030084206,-0.02178116,0.011793429,-0.007121004,-0.033472266,-0.051060006,-0.012191647,-0.044547911,-0.030391671,-0.034379837,0.009630612,0.005494212,0.01620218,0.003160327,0.013838373,0.008051255,0.018944194,0.013058358,0.010044382,0.019885728,0.013226217,0.020962881,0.026735107,-0.003867591,0.025975423,0.002373192,0.009891601,0.009891601,0.016516377,0.016516377,0.00758178,-0.011629416,0.014031106,0.025825889,0.020267941,0.009145848,0.015682374,0.010870283,0.016918323,0.016451729,0.007392598,0.018639962,0.019386344,0.013838495,0.005996378,0.012432265,0.022910254,0.014871706,0.01395123,0.008737198,0.012623572,0.027483283,0.012003905,0.025519843,0.012971888,0.004756948,0.023608783,0.008814373,0.012550624,0.012594605,0.012541332,0.018731895,0.02270625,0.013089722,0.014663053,0.029898703,0.018832033,0.013425824,0.006632122,0.038266002,0.001585155,-0.01907126,0.034930245,-0.019094536
0.014625446,0.016561891,0.013908716,0.002369064,-0.013432829,0.008038494,0.014385646,0.008196259,0.017312973,0.016508775,0.032431498,0.014255807,0.02215181,0.018576533,0.024870732,0.007601229,0.0245292,0.002695654,0.013262442,0.013302901,0.00930724,0.021912821,0.016213329,0.012294812,0.032846374,0.010156668,0.011787951,0.005428227,0.018749453,-0.017812923,-0.085667572,0.013889792,0.023405323,0.017644509,0.014925626,0.009437805,0.018218578,-0.027966927,-0.017736238,-0.003648486,-0.012275257,-0.042575952,-0.015724849,-0.012160165,-0.01837237,-0.00812335,-0.003704426,-0.011049877,-0.025135996,-0.012999883,-0.010713638,-0.010627548,-0.049050193,-0.039680111,-0.039680111,-0.01181419,-0.01181419,-0.021265696,-0.046904498,-0.026191955,-0.024820096,-0.01955745,-0.027068545,-0.013347579,-0.012837244,-0.006199833,-0.029243079,-0.007445346,-0.018012971,-0.035646786,-0.010531747,-0.016299223,-0.011567171,-0.023298532,-0.017985018,0.000494761,-0.018255801,-0.008398105,-0.026146714,-0.009993176,-0.025519843,-0.023112035,-0.013652125,-0.033778538,-0.008483634,-0.006816061,-0.008002257,-0.02121393,-0.010312438,-0.007727007,-0.019084375,-0.024020437,-0.019062788,-0.011181648,-0.015194886,-0.02257187,-0.021626115,-0.005615871,0.022469034,-0.003285886,0.011974389
-0.014632879,-0.015791592,-0.011463383,-0.009972319,-0.016619429,-0.013640369,-0.012317821,-0.010161529,-0.007993117,-0.015676975,-0.01605468,-0.009048296,0.023526082,-0.026944603,-0.018344584,-0.023587048,0.005079085,-0.010955777,-0.024582934,-0.012718179,0.004516189,-0.017498405,-0.019726036,-0.010507,-0.013411503,-0.020847383,-0.012866481,-0.034264503,-0.009871806,-0.008885108,0.028030024,-0.020845467,-0.017680799,-0.018692163,-0.022472796,-0.013948154,-0.062690836,-0.010209836,-0.015450027,-0.009580954,-0.003199335,-0.013725499,0.001769267,-0.001933626,-0.003629759,-0.001680752,-0.002136242,0.006740461,-0.017793757,0.000139291,-0.003039931,-0.003871934,-0.00863013,-0.025186536,-0.025186536,-0.009584503,-0.009584503,-0.013873666,-0.028843022,-0.010045141,0.010996791,0.015928252,0.015715191,0.002550904,0.007184787,-0.001524102,0.010202973,-0.004368931,-0.003453182,-0.010564189,-0.003763862,0.009370594,0.004392493,0.00090619,-0.005628625,0.007391138,-0.009610159,-0.012073881,0.03456918,0.00554698,-0.019576291,-0.000399802,-0.012100281,-0.000852287,-0.004268993,-0.005847357,-0.005126201,-0.005037771,-0.001830885,-0.007461591,0.004635393,-0.00504266,0.004991444,-0.004194178,-0.000312506,0.004286115,0.006326863,-0.004561305,-0.023336592,0.009534217,-0.006793636
-0.000517432,-0.011360065,-0.002559217,-0.002895272,-0.017163094,-0.004874429,0.00401449,-0.007386921,-0.006789307,0.008075416,0.004949309,0.002755466,0.034774947,-0.013749754,-0.002003564,-0.004112992,-0.006660582,-0.000907769,-0.00904251,0.009886576,0.010845454,0.007970588,-0.00058197,-0.008501365,0.002868723,-0.00646968,-0.006676854,0.00341778,0.000901518,0.005650598,-0.006535376,0.00979851,-0.013288075,-0.009327508,-0.000445812,0.004028041,-0.009751966,0.010913541,-0.002268184,0.006158289,0.006388468,0.019539414,0.008361586,0.009950282,0.00703404,0.007540969,0.015957559,0.00478703,0.001294712,0.003473475,-0.000147359,-0.003657937,0.015273617,0.000999791,0.000999791,0.011459195,0.011459195,0.010284915,0.014663763,0.004168762,0.034398506,0.014162882,0.006607966,-0.000664767,0.009451283,0.004945097,0.045596616,0.012277767,0.005644449,0.011544594,0.003991621,0.009115483,0.004529205,0.002584618,0.003880961,0.00831095,0.01563244,0.016281799,0.019802703,0.012521272,-0.002474378,0.009352335,0.005722648,0.015788549,0.016757231,0.018548062,0.015431455,0.009456334,0.000915869,0.013262378,0.033833532,0.011488867,0,0.020858661,0.000312506,0.005528723,0.015989202,-0.001200798,0.010362863,0.018228487,-0.003224898
0.010222886,0.010396993,0.005508101,0.021682856,0.006163597,0.020004565,0.006260837,0.011433948,0.002057487,0.00329429,0.014586877,0.016216117,0.033433284,0.008483719,0.013940982,0.028293791,-0.000135339,0.015574162,0.018004202,0.01846276,0.00032674,0.010056333,0.013219685,0.000782994,0.005142799,0.021828386,0.013309552,0.00710861,0.005212557,-0.011048456,0.005302239,0.012388972,0.02216755,0.016192168,0.00976045,0.009283053,0.011251058,-0.016824112,-0.011272066,-0.005677022,-0.006602219,-0.00164641,-0.006771919,-0.015124905,-0.014333456,-0.010669727,0.003380116,0.010687675,-0.014522677,-0.001943761,0.014312631,-0.00943507,0.000319064,-0.004004943,-0.004004943,0.005758354,0.005758354,0.006752593,0.014342866,-0.010454824,0.000384191,-0.008584743,-0.010914328,0.00585729,0.005603823,0.006932643,0.008834236,-0.015566893,-0.006588259,-0.013103445,-0.001594755,-0.003956683,0.005593993,0.000903133,-0.00739913,-0.003902568,-0.007231135,0.001291157,0.007561444,0.00303009,0,-0.004565791,-0.030371829,-0.018349168,-0.006542139,-0.007110351,-0.009309946,-0.002355619,-0.005354556,-0.004831677,-0.023279901,-0.012452281,0.000382876,0.008137849,-0.005535541,-0.006717557,0.00206686,-0.000915859,-0.000694596,-0.011324895,0.016687876
-0.003770003,-0.01176103,-0.008701956,-0.015785433,-0.002214408,-0.006754163,0.00974464,-0.009015735,-0.00714006,0.014893675,0.001851939,0.002544966,-0.005640172,-0.003172936,-0.006199613,0.003111329,-0.00486898,0.002041212,-0.007110053,-0.004669501,0.00686823,0.005565367,0.001285072,-0.008409629,-0.005715822,-0.005093432,-0.006632698,-0.016144466,-0.007196904,0.010907598,0.002992205,0.000243719,-0.001061419,0.000892002,0.017505955,-0.012020339,0.00959731,0.002042029,-0.016156387,0.004640017,0.002986925,-0.003537406,0,0.005819514,0.003871085,0.00480951,0.00100267,0.011275676,0.000187614,0.003191147,0.001040302,-0.001156872,-0.010986053,-0.014908795,-0.014908795,-0.01312115,-0.01312115,0.008343097,-0.001802066,0.002798689,0.0042162,-0.001113127,-0.010910064,0.000220261,0.022154257,0.010620385,0.018241396,0.016493341,-0.006315146,0.010159555,-0.003883634,0.0030321,-0.003259455,0.006682937,0.01480572,0.008274594,0.000906796,0.010588885,-0.000209322,0.007836334,0,0.010293002,0.006219512,0.003696937,0.010949781,-0.002903106,0.0093756,-0.00845893,0.00030672,0.023928331,0.001882305,0.001264362,-0.000765977,-0.009921142,-0.000314314,0.001426369,0.002062526,-0.000229011,0.003439725,0.001040061,0.004597317
-7.39E-06,0.006672834,0.009437862,0.009676172,0.009598953,0.011790002,0.003085612,0.016764212,-0.001274698,0.013277177,-0.009177213,0.012785275,-0.011728792,-0.008510747,-0.003488614,0.007809647,0.014616868,-0.001147773,0.006322512,0.002622205,0.003122465,-0.00332235,0.005422884,0.006137361,-0.009503353,0.000425441,-0.009396446,0.005618075,-0.001264747,-0.00593487,-0.007054738,-0.002074017,0.0158037,0.001781399,0.010787502,-0.008744995,-0.016266683,-0.003473924,-0.005826847,-0.001038074,0.010173953,-0.007032972,0.004753957,0.002575779,-0.001073764,-0.002161476,-0.00749879,-0.002572805,-0.006962228,0.004009269,0,-0.011641636,-0.010130157,-0.006897432,-0.006897432,0.021619942,0.021619942,0.006516376,-0.003284936,-0.005078282,0.000764691,-0.001532639,-0.006503325,0.00022046,-0.002736603,-0.003610696,-0.00968723,-0.007745948,-0.006674075,0.021252364,-0.000915856,-0.003876033,-7.77E-05,-0.006206372,0.008582675,0.000484542,0.000402668,-0.006083001,-0.009251542,-0.012385106,-0.009124848,-0.010491978,-0.000531637,-0.006835698,-0.00419732,-0.006056557,-0.002039282,0.008121925,-0.007851669,-0.002209181,-0.000134319,0.001562957,-0.015055355,0.001967579,0.000733099,0.004266755,-0.001374545,-0.000343744,0.004104057,0.015188766,-0.004989529
0.000309998,-0.00271557,0.004967289,-0.035447455,0.004154321,-0.011008257,-0.004578616,-0.000148463,0.003978075,0.001198264,0.011602518,0.005786176,-8.81E-05,0.008510747,-0.002499362,0.009640799,-0.003072953,0.002930727,-0.003419701,0.001308482,-0.005929145,0.011628951,-0.006133711,0.002428819,-0.008718589,-0.008543452,0.008676731,0.00589598,-0.005256893,0.01574838,0.001414963,-0.002200655,-0.003840151,-0.007892216,0.007269749,0.010195104,-0.019510585,0.019561793,-0.001674677,0.010570262,0.009027079,0.020253335,0.00743756,0.008325398,0.007705481,0.015742756,-0.000275567,0.020858195,0.009209826,0.007148633,-0.000241814,0.012798508,0.044136534,0.026560312,0.026560312,0.012842311,0.012842311,-0.001083037,0.019011916,0.008391581,0.017427946,0.006393387,0.002381128,0.006696307,0.01396143,0.021349717,0.040732595,0.01635074,0.019264704,0.01905857,0.010823231,0.007485623,0.010055023,0.009552019,0.066649829,0.004833342,0.021510529,0.010223741,0.025856467,0.01088285,0.007472029,0.014422894,0.010753743,0.019807987,0.016891314,0.007844023,0.008132286,0.006048436,0.008618168,0.014429417,0.025207022,0.003358312,0.016586684,0.012695495,0.00875557,0.010041607,0.030479822,0.007591979,-0.010291674,0.014961431,-0.000569034
0.010870041,0.006968273,0.011142638,0.020839962,0.003100522,0.043324309,0.017351251,0.007690155,0.00838149,0.02054602,0.002707099,0.01193548,-0.000176115,0.024072337,0.015149842,0.041292896,0.009883015,0.00621458,0.008396749,0.019647685,0.002334676,0.015992626,0.012661957,0.021444606,-0.004974239,0.01785766,0.006637458,0.012300336,0.01228332,0.006396972,-0.014598871,0.021433281,0.005232874,0.020567419,0.023163876,0.004177352,-0.012572609,0.003506864,0.025707986,0.007560848,0.019659198,-0.005454622,0.003394132,0.009520856,0.004467636,0.007662009,-0.004509167,0.003662988,0.014118648,0.007234112,-0.002664382,0.007830517,-0.005000401,0.02368147,0.02368147,0.013429081,0.013429081,0.008498031,0.007584919,0.006247807,0.011390301,-0.004025842,0.002250576,0.006543108,0.002253379,0.007420544,0.009880994,0.006253251,0.009649881,0.002424016,0.005536973,0.015878001,0.00107684,0.018330523,-0.001150973,0.002888753,0.008144106,0.001588164,0.006565368,0.008532175,0.007416699,0.012863252,0.020307844,0.010313853,0.006595114,0.010216702,0.011430099,0.006344936,-0.00306942,0.008682121,-0.003675106,0.00590956,0.000382437,0.014451082,-0.002077676,0.004983338,0.0086351,0.00079591,-0.006920375,0.00497499,0.012948081
